Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Adj Close
2025-06-12,518.0,518.0,508.0,510.0,13368048,0.0,0.0,510.0
2025-06-13,510.5,515.5,506.0,510.0,19085310,0.0,0.0,510.0
2025-06-16,507.0,512.0,504.5,509.5,13784320,0.0,0.0,509.5
