Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Adj Close
2025-03-19,37.25,37.5,36.900001525878906,37.5,8866724,0.0,0.0,37.5
2025-03-20,37.54999923706055,37.650001525878906,37.25,37.400001525878906,9391771,0.0,0.0,37.400001525878906
2025-03-21,37.400001525878906,37.5,36.75,37.099998474121094,13177131,0.0,0.0,37.099998474121094
2025-03-24,37.20000076293945,38.099998474121094,36.900001525878906,37.25,13564265,0.0,0.0,37.25
2025-03-25,37.25,37.75,37.04999923706055,37.650001525878906,12659640,0.0,0.0,37.650001525878906
2025-03-26,37.650001525878906,37.75,36.5,36.849998474121094,11964198,0.0,0.0,36.849998474121094
2025-03-27,36.79999923706055,37.04999923706055,36.70000076293945,36.70000076293945,5096534,0.0,0.0,36.70000076293945
2025-03-28,36.95000076293945,36.95000076293945,36.400001525878906,36.54999923706055,7061904,0.0,0.0,36.54999923706055
2025-03-31,36.400001525878906,36.75,36.20000076293945,36.400001525878906,8062515,0.0,0.0,36.400001525878906
2025-04-01,36.54999923706055,36.95000076293945,36.29999923706055,36.95000076293945,10214174,0.0,0.0,36.95000076293945
2025-04-02,36.650001525878906,37.04999923706055,36.54999923706055,37.0,8020786,0.0,0.0,37.0
2025-04-03,36.45000076293945,37.099998474121094,36.45000076293945,36.95000076293945,11994774,0.0,0.0,36.95000076293945
2025-04-07,35.79999923706055,35.95000076293945,34.04999923706055,34.20000076293945,30793158,0.0,0.0,34.20000076293945
2025-04-08,34.5,35.099998474121094,33.400001525878906,33.79999923706055,21725688,0.0,0.0,33.79999923706055
2025-04-09,33.0,33.45000076293945,32.650001525878906,33.25,17057825,0.0,0.0,33.25
2025-04-10,33.54999923706055,34.04999923706055,33.25,33.70000076293945,16409063,0.0,0.0,33.70000076293945
2025-04-11,33.45000076293945,33.54999923706055,33.150001525878906,33.29999923706055,16365039,0.0,0.0,33.29999923706055
2025-04-14,33.849998474121094,34.099998474121094,33.5,34.04999923706055,13924273,0.0,0.0,34.04999923706055
2025-04-15,34.20000076293945,34.45000076293945,33.900001525878906,34.0,8865173,0.0,0.0,34.0
2025-04-16,34.099998474121094,34.349998474121094,33.900001525878906,34.349998474121094,9624341,0.0,0.0,34.349998474121094
2025-04-17,34.75,35.04999923706055,34.5,34.95000076293945,9275895,0.0,0.0,34.95000076293945
2025-04-22,34.5,35.0,34.5,34.900001525878906,5915987,0.0,0.0,34.900001525878906
2025-04-23,35.29999923706055,36.0,35.04999923706055,35.75,8836138,0.0,0.0,35.75
2025-04-24,35.45000076293945,35.650001525878906,35.150001525878906,35.599998474121094,5375479,0.0,0.0,35.599998474121094
2025-04-25,35.599998474121094,36.150001525878906,35.5,35.70000076293945,6814876,0.0,0.0,35.70000076293945
2025-04-28,35.70000076293945,36.0,35.5,35.79999923706055,4995261,0.0,0.0,35.79999923706055
2025-04-29,36.099998474121094,36.29999923706055,35.54999923706055,35.95000076293945,7484166,0.0,0.0,35.95000076293945
2025-04-30,35.95000076293945,36.400001525878906,35.70000076293945,36.349998474121094,8967487,0.0,0.0,36.349998474121094
2025-05-02,36.29999923706055,36.95000076293945,36.04999923706055,36.900001525878906,6687306,0.0,0.0,36.900001525878906
2025-05-06,37.349998474121094,37.599998474121094,37.0,37.45000076293945,9804625,0.0,0.0,37.45000076293945
2025-05-07,37.75,39.95000076293945,37.599998474121094,39.95000076293945,39347121,0.0,0.0,39.95000076293945
2025-05-08,39.400001525878906,39.849998474121094,39.099998474121094,39.599998474121094,17149788,0.0,0.0,39.599998474121094
2025-05-09,39.29999923706055,40.54999923706055,38.900001525878906,40.5,17939410,0.0,0.0,40.5
2025-05-12,41.0,41.29999923706055,40.599998474121094,41.150001525878906,13201371,0.0,0.0,41.150001525878906
2025-05-13,41.150001525878906,41.29999923706055,40.70000076293945,41.0,10415953,0.0,0.0,41.0
2025-05-14,41.29999923706055,41.29999923706055,40.20000076293945,40.45000076293945,11507567,0.0,0.0,40.45000076293945
2025-05-15,40.25,40.5,39.5,39.79999923706055,12947788,0.0,0.0,39.79999923706055
2025-05-16,39.79999923706055,39.849998474121094,39.20000076293945,39.849998474121094,7465005,0.0,0.0,39.849998474121094
2025-05-19,39.650001525878906,40.29999923706055,39.54999923706055,40.20000076293945,5381287,0.0,0.0,40.20000076293945
2025-05-20,40.400001525878906,41.0,40.25,40.95000076293945,7848773,0.0,0.0,40.95000076293945
2025-05-21,41.0,41.04999923706055,40.599998474121094,40.95000076293945,10098458,0.0,0.0,40.95000076293945
2025-05-22,41.04999923706055,41.099998474121094,39.849998474121094,40.0,11532689,0.0,0.0,40.0
2025-05-23,39.95000076293945,40.099998474121094,39.849998474121094,40.099998474121094,6957701,0.0,0.0,40.099998474121094
2025-05-26,40.0,41.150001525878906,39.75,40.849998474121094,10209966,0.0,0.0,40.849998474121094
2025-05-27,41.0,41.650001525878906,40.20000076293945,40.900001525878906,18672270,0.0,0.0,40.900001525878906
2025-05-28,40.900001525878906,41.95000076293945,40.70000076293945,41.20000076293945,11197676,0.0,0.0,41.20000076293945
2025-05-29,42.0,42.150001525878906,40.900001525878906,41.20000076293945,13314244,0.0,0.0,41.20000076293945
2025-05-30,41.0,41.650001525878906,40.849998474121094,41.650001525878906,11135645,0.0,0.0,41.650001525878906
2025-06-02,41.20000076293945,41.599998474121094,40.400001525878906,41.150001525878906,11585279,0.0,0.0,41.150001525878906
2025-06-03,41.150001525878906,41.650001525878906,41.0,41.45000076293945,8581577,0.0,0.0,41.45000076293945
2025-06-04,41.5,41.54999923706055,40.650001525878906,40.900001525878906,13897087,0.0,0.0,40.900001525878906
2025-06-05,41.0,41.349998474121094,40.79999923706055,41.29999923706055,6869115,0.0,0.0,41.29999923706055
2025-06-06,41.0,42.349998474121094,41.0,41.75,17218663,0.0,0.0,41.75
2025-06-09,42.04999923706055,42.25,41.650001525878906,41.900001525878906,8085738,0.0,0.0,41.900001525878906
2025-06-10,41.900001525878906,42.150001525878906,41.75,41.900001525878906,5798606,0.0,0.0,41.900001525878906
2025-06-11,41.900001525878906,42.29999923706055,41.79999923706055,42.0,6025431,0.0,0.0,42.0
2025-06-12,42.0,42.150001525878906,41.70000076293945,42.0,10800470,0.0,0.0,42.0
2025-06-13,42.0,42.54999923706055,41.900001525878906,42.04999923706055,7904496,0.0,0.0,42.04999923706055
2025-06-16,42.0,42.20000076293945,41.900001525878906,42.04999923706055,6205831,0.0,0.0,42.04999923706055
